Date,Open
1/1/2000,0.936384022
2/1/2000,0.928570986
3/1/2000,1.058593988
4/1/2000,1.209820986
5/1/2000,1.114954948
6/1/2000,0.729911029
7/1/2000,0.930804014
8/1/2000,0.898437977
9/1/2000,1.094866037
10/1/2000,0.476563007
11/1/2000,0.347097993
12/1/2000,0.303570986
1/1/2001,0.265625
2/1/2001,0.369419992
3/1/2001,0.318080008
4/1/2001,0.394463986
5/1/2001,0.453750014
6/1/2001,0.35946399
7/1/2001,0.422143012
8/1/2001,0.339464009
9/1/2001,0.330356985
10/1/2001,0.276607007
11/1/2001,0.31517899
12/1/2001,0.376071006
1/1/2002,0.393750012
2/1/2002,0.434643
3/1/2002,0.391606987
4/1/2002,0.417499989
5/1/2002,0.433750004
6/1/2002,0.417679012
7/1/2002,0.316249996
8/1/2002,0.269820988
9/1/2002,0.258749992
10/1/2002,0.260535985
11/1/2002,0.284642994
12/1/2002,0.28392899
1/1/2003,0.256428987
2/1/2003,0.257321
3/1/2003,0.268036008
4/1/2003,0.253571004
5/1/2003,0.254464
6/1/2003,0.323213995
7/1/2003,0.336964011
8/1/2003,0.375
9/1/2003,0.404642999
10/1/2003,0.369821012
11/1/2003,0.407678992
12/1/2003,0.375714004
1/1/2004,0.384820998
2/1/2004,0.401071012
3/1/2004,0.430357009
4/1/2004,0.480179012
5/1/2004,0.464286
6/1/2004,0.496250004
7/1/2004,0.573213995
8/1/2004,0.556786001
9/1/2004,0.612500012
10/1/2004,0.698571026
11/1/2004,0.9375
12/1/2004,1.210536003
1/1/2005,1.156785965
2/1/2005,1.375892997
3/1/2005,1.606786013
4/1/2005,1.503214002
5/1/2005,1.293213964
6/1/2005,1.42464304
7/1/2005,1.31535697
8/1/2005,1.520357013
9/1/2005,1.678570986
10/1/2005,1.934285998
11/1/2005,2.044286013
12/1/2005,2.462500095
1/1/2006,2.585000038
2/1/2006,2.676785946
3/1/2006,2.458570957
4/1/2006,2.273929119
5/1/2006,2.527499914
6/1/2006,2.137500048
7/1/2006,2.054286003
8/1/2006,2.400713921
9/1/2006,2.445713997
10/1/2006,2.682142973
11/1/2006,2.896429062
12/1/2006,3.27857089
1/1/2007,3.081785917
2/1/2007,3.079643011
3/1/2007,3.001070976
4/1/2007,3.36214304
5/1/2007,3.55678606
6/1/2007,4.324999809
7/1/2007,4.323214054
8/1/2007,4.772857189
9/1/2007,4.997857094
10/1/2007,5.522500038
11/1/2007,6.735713959
12/1/2007,6.494999886
1/1/2008,7.116786003
2/1/2008,4.865714073
3/1/2008,4.44428587
4/1/2008,5.224999905
5/1/2008,6.248570919
6/1/2008,6.735713959
7/1/2008,5.865356922
8/1/2008,5.710713863
9/1/2008,6.157143116
10/1/2008,3.99714303
11/1/2008,3.783214092
12/1/2008,3.260714054
1/1/2009,3.067142963
2/1/2009,3.182142973
